[INFO ]2017-01-06 16:07:46  [main:com.pujjr.antifraud.com.SocketServer.run(SocketServer.java:47):1] - 服务端启动成功，监听端口：5000
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.com.SocketServerHandler.channelRead(SocketServerHandler.java:55):11125] - NettyServerHandler 接受客户端报文:{"tranCode":"00001","appId":"D4021611030272N1"}
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.com.service.impl.SynShortReceiverImpl.doReceive(SynShortReceiverImpl.java:28):11133] - receive from client：{"tranCode":"00001","appId":"D4021611030272N1"}
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.com.service.impl.SynShortReceiverImpl.doReceive(SynShortReceiverImpl.java:36):11207] - tranCode：00001
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.com.service.impl.RddServiceImpl.selectBigDataTest(RddServiceImpl.java:232):11209] - Rdd服务
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.util.Utils.getProperty(Utils.java:35):11387] - path:/E:/Workspaces/EclipseMars/pjsp/pjsp/target/classes/
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.util.Utils.getProperty(Utils.java:35):11424] - path:/E:/Workspaces/EclipseMars/pjsp/pjsp/target/classes/
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.util.Utils.getProperty(Utils.java:35):11424] - path:/E:/Workspaces/EclipseMars/pjsp/pjsp/target/classes/
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:com.pujjr.antifraud.util.Utils.getProperty(Utils.java:35):11424] - path:/E:/Workspaces/EclipseMars/pjsp/pjsp/target/classes/
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11462] - Running Spark version 2.0.0
[WARN ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logWarning(Logging.scala:66):11767] - 
SPARK_CLASSPATH was detected (set to 'E:\spark-2.0.0-bin-hadoop2.7\jars').
This is deprecated in Spark 1.0+.

Please instead use:
 - ./spark-submit with --driver-class-path to augment the driver classpath
 - spark.executor.extraClassPath to augment the executor classpath
        
[WARN ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logWarning(Logging.scala:66):11768] - Setting 'spark.executor.extraClassPath' to 'E:\spark-2.0.0-bin-hadoop2.7\jars' as a work-around.
[WARN ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logWarning(Logging.scala:66):11768] - Setting 'spark.driver.extraClassPath' to 'E:\spark-2.0.0-bin-hadoop2.7\jars' as a work-around.
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11788] - Changing view acls to: pujjr
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11789] - Changing modify acls to: pujjr
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11789] - Changing view acls groups to: 
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11791] - Changing modify acls groups to: 
[INFO ]2017-01-06 16:07:57  [nioEventLoopGroup-3-1:org.apache.spark.internal.Logging$class.logInfo(Logging.scala:54):11791] - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(pujjr); groups with view permissions: Set(); users  with modify permissions: Set(pujjr); groups with modify permissions: Set()
